#I; AV_NDA; AV_MLP; AV_EM; AV_BH; AV_NA; AV_PP; AV_JC; AV_JL; AV_JLM; AV_FA; AV_FF; EV_NDA; EV_MLP; EV_EM; EV_BH; EV_NA; EV_PP; EV_JC; EV_JL; EV_JLM; EV_FA; EV_FF; VOTE; AGE; SEXE; ETUDE; PROF; AV; EV; OF
0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; None; 0.0226817374211; 0.793028066213; 0.957695632573; None; None; None; None; 0.791844398613; None; None; EM; 70; F; S; RET; 3; 3; 3; 
1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0.4991994529; 0.0; 0.0; 1.0; 0.603678718758; None; 0.497077885805; None; 0.684641808453; 0.273489898827; 0.0; BH; 40; F; S; PUB; 3; 2; 2; 
2; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0.0; 0.0; 0.363972670753; 0.746631061518; 0.492587449477; 0.496535297983; 0.0; 0.0; 1.0; 0.0; 0.0; JLM; 60; F; S; ART; 2; 1; 2; 
3; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0.500658266212; 0.764105704929; 0.763052241095; 0.0; 0.0; 0.0; 0.0; 0.765611872239; 0.0; 0.0; 1.0; FF; 18; F; S; ETU; 1; 3; 3; 
4; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0.501037727595; 0.0; 0.142339983978; 0.967403254928; 0.724514228736; 0.759174217037; 0.569060886346; 0.581770348922; 1.0; 0.178719496049; 0.0; JLM; 70; F; S; RET; 3; 2; 1; 
5; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0.0; 0.0; 0.778506406083; 0.0565672098795; 0.016804507562; 0.016922083659; 0.0168935955623; 0.0; 0.132080047172; 0.0112616342619; 0.530133638396; EM; 60; F; S; RET; 2; 2; 3; 
6; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0.0; 0.0; 0.790739801269; 0.692289577991; 0.499419400221; 0.501805764312; 0.0; 0.0; 0.539708042742; 0.0; 0.0; EM; 30; F; S; PUB; 3; 1; 1; 
7; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; None; None; None; None; 0.975702414823; 0.696477264505; None; None; None; None; None; NA; 40; F; S; PRI; NSPP; NSPP; NSPP; 
8; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0.0; 0.0; 0.947233484605; 0.0; 0.0; 0.0156339673909; 0.0226476942561; 0.0226605968639; 0.0226582494455; 0.0169971671388; 0.953507019049; FF; 70; M; S; RET; 2; 2; 2; 
9; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; None; None; 0.544516424792; None; None; None; 0.961850769736; 0.960321493972; 0.971898630697; None; None; JLM; 70; F; 2; NSPP; 3; NSPP; NSPP; 
